published,last_update,category,views,recommendations,comments,authors,characters,rating,genre,size_kb,warnings,translators,original_language,betas,series,challenge,title,events,target
2017-06-27,2017-08-04,S,154716,9,200,['56783'],"[['Северус Снейп', 'Джеймс Поттер'], 'Сириус Блэк', 'Гарри Поттер', 'Драко Малфой', 'Лорд Волдеморт (Том Риддл)', 'Люциус Малфой', 'Вальбурга Блэк', 'Ремус Люпин', 'Питер Петтигрю', 'Альбус Дамблдор']",NC-17,"['Приключения', 'Hurt/comfort', 'Романтика']",733,"['AU', 'UST', 'ООС', 'Гет', 'Смерть персонажа']",,,['64113'],,,"[2.559603217631601e+18, 4.79294927189414e+18, 6.83407938502409e+18]","[7.678966060302864e+18, 5.506017037550416e+18, 8.94765061936755e+18, 7.285076916399111e+18]",1387
2016-07-19,2016-07-19,S,6802,2,19,['267070'],"[['Гарри Поттер', 'Драко Малфой']]",PG-13,"['Флафф', 'Романтика']",9,['AU'],,,,,/challenge31,"[4.2029902384454313e+18, 3.2770973338247183e+18, 7.821840985668065e+18, 8.844515115021385e+18]","[5.091602363353723e+18, 8.94765061936755e+18]",519
2013-11-24,2013-11-24,H,62830,9,67,['MizSphinx'],"[['Гермиона Грейнджер', 'Драко Малфой']]",R,"['Юмор', 'Романтика']",118,"['ООС', 'Немагическое AU']",['65116'],Английский,"['145152', '138290']",,,"[3.2916843178720686e+18, 3.306197486577762e+18]","[8.495340661862281e+18, 5.091602363353723e+18, 8.94765061936755e+18]",1510
2013-12-19,2014-03-19,H,29029,1,68,['72054'],"[['Блейз Забини', 'Гермиона Грейнджер', 'Скорпиус Малфой'], ['Джинни Уизли', 'Астория Гринграсс'], ['Джеймс Поттер-младший', 'Скорпиус Малфой', 'Гарри Поттер'], 'Роза Уизли', 'Лаванда Браун', 'Альбус Северус Поттер', 'Драко Малфой']",R,['Драма'],454,['AU'],,,,/serie368,,"[4.79294927189414e+18, 2.9850303681179494e+18, 5.414749294764408e+18, 2.490739165449839e+18]","[8.607079560928971e+18, 7.285076916399111e+18, 5.091602363353723e+18]",282
2010-09-05,2010-09-05,S,9128,0,44,['40442'],"[['Драко Малфой', 'Гарри Поттер']]",R,"['Ангст', 'Романтика']",12,"['Размещение фанфика на любых других ресурсах', 'без предварительного предупреждения автора', 'категорически запрещено !']",,,['38602'],,,"[1.915906358927176e+18, 7.393011223078967e+18, 4.5762366746304205e+17]",[],115
2013-11-15,2013-11-15,S,11840,0,24,['XYZ Affair'],"[['Драко Малфой', 'Гарри Поттер']]",NC-17,['PWP'],5,['AU'],['47697'],Английский,,,,[5.739545186502287e+18],[5.091602363353723e+18],632
2018-03-22,2018-03-22,G,4675,1,7,['140425'],"['Гарри Поттер', 'Новый Женский Персонаж', 'Рабастан Лестрейндж', 'Родольфус Лестрейндж']",PG-13,['Юмор'],16,"['AU', 'ООС']",,,,/serie351,,"[7.725630621471152e+18, 8.160733501990924e+18]","[2.531777133842788e+18, 4.2223822242918354e+18, 9.093989600810537e+18]",234
2015-06-20,2015-06-20,H,2587,1,7,['126858'],"[['Рон Уизли', 'Луна Лавгуд'], 'Джордж Уизли']",PG-13,['Общий'],34,,,,,,,"[3.1793193147278746e+18, 7.892550662455655e+18, 1.9390426069134415e+18]","[9.093989600810537e+18, 5.091602363353723e+18, 7.285076916399111e+18]",32
2013-01-09,2013-07-28,S,1677105,152,6692,['80230'],"[['Северус Снейп', 'Гарри Поттер']]",NC-17,"['Ангст', 'Драма', 'Романтика', 'Приключения']",1917,['Физическое и сексуальное насилие. Полный ООС. POV Гарри.'],,,['89805'],,,"[6.328671031195247e+18, 3.3049694537504594e+18]",[5.091602363353723e+18],6888
2019-01-31,2019-01-31,G,3498,6,82,"['369551', '168069']","['Гарри Поттер', 'Гермиона Грейнджер', 'Невилл Лонгботтом', 'Вернон Дурсль', 'Лаванда Браун', 'Миссис Грейнджер', 'Молли Уизли', 'Рон Уизли', 'Альбус Дамблдор', 'Северус Снейп']",PG-13,['Юмор'],20,,,,['47664'],,,"[4.643486609846169e+18, 5.478717409972209e+17]","[5.420764329290495e+18, 2.593952817060485e+18]",244
